rfbsg_t_2015_2021,rv_vrll,,,rfbsg_t_2015_2021__rv_vrll Revenues 2015-2021 (USD)
rfbsg_s_fl,lnd_vrl,,,rfbsg_s_fl__lnd_vrl Landings Florida (lbs)
rfbsg_s_fl,rv_vrll,,,rfbsg_s_fl__rv_vrll Revenues Florida (USD)
rfgnsg,lnd_vrl,,,rfgnsg__lnd_vrl Overall Landings (lbs)
rfgnsg,rv_vrll,,,rfgnsg__rv_vrll Overall Revenues (USD)
rfgnsg,lnd__rs,,,rfgnsg__lnd__rs -Landings Red Snapper (lbs)
rfgnsg,rev__rs,,,rfgnsg__rev__rs -Revenues Red Snapper (USD)
rfgnsg,lnd__ms,,,rfgnsg__lnd__ms -Landings Mid-depth snapper group (lbs)
rfgnsg,rev__ms,,,rfgnsg__rev__ms -Revenues Mid-depth snapper group (USD)
rfgnsg,lnd__ss,,,rfgnsg__lnd__ss -Landings Shallow-water snapper group (lbs)
rfgnsg,rev__ss,,,rfgnsg__rev__ss -Revenues Shallow-water snapper group (USD)
rfgnsg,lnd__sg,,,rfgnsg__lnd__sg -Landings Shallow-water grouper group (lbs)
rfgnsg,rev__sg,,,rfgnsg__rev__sg -Revenues Shallow-water grouper group (USD)
rfgnsg,lnd__dg,,,rfgnsg__lnd__dg -Landings Deep-water grouper group (lbs)
rfgnsg,rev__dg,,,rfgnsg__rev__dg -Revenues Deep-water grouper group (USD)
rfgnsg,lnd__tf,,,rfgnsg__lnd__tf -Landings Tilefishes group (lbs)
rfgnsg,rev__tf,,,rfgnsg__rev__tf -Revenues Tilefishes group (USD)
rfgnsg,lnd__ja,,,rfgnsg__lnd__ja Landings Jacks group (lbs)
rfgnsg,rev__ja,,,rfgnsg__rev__ja Revenues Jacks group (USD)
rfgnsg,lnd__tr,,,rfgnsg__lnd__tr -Landings Triggerfishes group (lbs)
rfgnsg,rev__tr,,,rfgnsg__rev__tr -Revenues Triggerfishes group (USD)
rfgnsg,lnd__gp,,,rfgnsg__lnd__gp Landings Grunts and porgies group (lbs)
rfgnsg,rev__gp,,,rfgnsg__rev__gp Revenues Grunts and porgies group (USD)
rfgnsg,lnd__cp,,,rfgnsg__lnd__cp Landings Coastal pelagics group (lbs)
rfgnsg,rev__cp,,,rfgnsg__rev__cp Revenues Coastal pelagics group (USD)
rfgnsg_t_2007_2014,lnd_vrl,,,rfgnsg_t_2007_2014__lnd_vrl Landings 2007-2014 (lbs)
rfgnsg_t_2007_2014,rv_vrll,,,rfgnsg_t_2007_2014__rv_vrll Revenues 2007-2014 (USD)
rfgnsg_t_2015_2021,lnd_vrl,,,rfgnsg_t_2015_2021__lnd_vrl Landings 2015-2021 (lbs)
rfgnsg_t_2015_2021,rv_vrll,,,rfgnsg_t_2015_2021__rv_vrll Revenues 2015-2021 (USD)
rfgnsg_s_fl,lnd_vrl,,,rfgnsg_s_fl__lnd_vrl Landings Florida (lbs)
rfgnsg_s_fl,rv_vrll,,,rfgnsg_s_fl__rv_vrll Revenues Florida (USD)
rftsg,lnd_vrl,,,rftsg__lnd_vrl Overall Landings (lbs)
rftsg,rv_vrll,,,rftsg__rv_vrll Overall Revenues (USD)
rftsg,lnd__rs,,,rftsg__lnd__rs Landings Red Snapper (lbs)
rftsg,rev__rs,,,rftsg__rev__rs Revenues Red Snapper (USD)
rftsg,lnd__ms,,,rftsg__lnd__ms Landings Mid-depth snapper group (lbs)
rftsg,rev__ms,,,rftsg__rev__ms Revenues Mid-depth snapper group (USD)
rftsg,lnd__ss,,,rftsg__lnd__ss Landings Shallow-water snapper group (lbs)
rftsg,rev__ss,,,rftsg__rev__ss Revenues Shallow-water snapper group (USD)
rftsg,lnd__sg,,,rftsg__lnd__sg Landings Shallow-water grouper group (lbs)
rftsg,rev__sg,,,rftsg__rev__sg Revenues Shallow-water grouper group (USD)
rftsg,lnd__dg,,,rftsg__lnd__dg Landings Deep-water grouper group (lbs)
rftsg,rev__dg,,,rftsg__rev__dg Revenues Deep-water grouper group (USD)
rftsg,lnd__tf,,,rftsg__lnd__tf Landings Tilefishes group (lbs)
rftsg,rev__tf,,,rftsg__rev__tf Revenues Tilefishes group (USD)
rftsg,lnd__ja,,,rftsg__lnd__ja Landings Jacks group (lbs)
rftsg,rev__ja,,,rftsg__rev__ja Revenues Jacks group (USD)
rftsg,lnd__tr,,,rftsg__lnd__tr Landings Triggerfishes group (lbs)
rftsg,rev__tr,,,rftsg__rev__tr Revenues Triggerfishes group (USD)
rftsg,lnd__gp,,,rftsg__lnd__gp Landings Grunts and porgies group (lbs)
rftsg,rev__gp,,,rftsg__rev__gp Revenues Grunts and porgies group (USD)
rftsg,lnd__cp,,,rftsg__lnd__cp Landings Coastal pelagics group (lbs)
rftsg,rev__cp,,,rftsg__rev__cp Revenues Coastal pelagics group (USD)
rftsg_t_2007_2014,lnd_vrl,,,rftsg_t_2007_2014__lnd_vrl Landings 2007-2014 (lbs)
rftsg_t_2007_2014,rv_vrll,,,rftsg_t_2007_2014__rv_vrll Revenues 2007-2014 (USD)
rftsg_t_2015_2021,lnd_vrl,,,rftsg_t_2015_2021__lnd_vrl Landings 2015-2021 (lbs)
rftsg_t_2015_2021,rv_vrll,,,rftsg_t_2015_2021__rv_vrll Revenues 2015-2021 (USD)
rftsg_s_fl,lnd_vrl,,,rftsg_s_fl__lnd_vrl Landings Florida (lbs)
rftsg_s_fl,rv_vrll,,,rftsg_s_fl__rv_vrll Revenues Florida (USD)
rftsg_s_al,lnd_vrl,,,rftsg_s_al__lnd_vrl Landings Alabama (lbs)
rftsg_s_al,rv_vrll,,,rftsg_s_al__rv_vrll Revenues Alabama (USD)
rftsg_s_la,lnd_vrl,,,rftsg_s_la__lnd_vrl Landings Louisiana (lbs)
rftsg_s_la,rv_vrll,,,rftsg_s_la__rv_vrll Revenues Louisiana (USD)
hmssg,lnd_vrl,,,hmssg__lnd_vrl Overall Landings (lbs)
hmssg,rv_vrll,,,hmssg__rv_vrll Overall Revenues (USD)
hmssg_s_fl,lnd_vrl,,,hmssg_s_fl__lnd_vrl Landings Florida (lbs)
hmssg_s_fl,rv_vrll,,,hmssg_s_fl__rv_vrll Revenues Florida (USD)
hmssg_s_la,lnd_vrl,,,hmssg_s_la__lnd_vrl Landings Louisiana (lbs)
hmssg_s_la,rv_vrll,,,hmssg_s_la__rv_vrll Revenues Louisiana (USD)
